company_name,person_id
Telecom,+7 171 898 0853
Telecom,+370 351 224 5176
Telecom,+81 308 988 7153
Telecom,+54 398 559 0423
Telecom,+7 690 597 4443
Telecom,+263 498 495 0617
Telecom,+63 815 962 6097
Telecom,+81 746 154 2598
Telecom,+261 860 539 4754
Telecom,+62 107 530 7500
Telecom,+7 454 540 0474
Telecom,+62 493 645 0239
Telecom,+63 354 310 6825
Telecom,+54 890 522 5284
Telecom,+45 792 227 1110
Telecom,+355 556 407 0145
Telecom,+386 487 202 8409
Telecom,+66 406 272 0080
Telecom,+62 635 323 3882
Telecom,+86 521 724 9687
Telecom,+46 946 207 0186
Telecom,+81 153 962 4648
Telecom,+62 421 486 9194
Telecom,+55 125 114 0729
Telecom,+49 466 689 9075
Telecom,+63 227 257 2272
Telecom,+33 899 450 7675
Telecom,+66 615 504 8426
Telecom,+48 503 552 2864
Telecom,+57 876 719 4988
Telecom,+63 408 206 3263
Telecom,+7 722 998 0596
Telecom,+1 136 994 5079
Telecom,+420 538 824 5280
Telecom,+62 441 776 5105
Telecom,+686 141 630 2349
Telecom,+1 210 254 8475
Telecom,+62 163 815 9844
Telecom,+252 588 156 8989
Telecom,+86 666 694 3017
Telecom,+351 699 781 7790
Telecom,+850 471 675 1116
Telecom,+95 983 880 9416
Telecom,+63 631 854 2672
Telecom,+389 785 553 2178
Telecom,+33 454 926 8596
Telecom,+216 124 435 9613
Telecom,+1 424 265 8640
Telecom,+55 316 423 7951
Telecom,+1 253 601 5208
Telecom,+49 106 684 3294
Telecom,+63 958 715 1786
Telecom,+30 328 155 8097
Telecom,+86 467 545 3578
Telecom,+31 461 329 9985
Telecom,+62 828 512 9172
Telecom,+7 884 177 0089
Telecom,+62 235 664 6205
Telecom,+62 429 757 5087
Telecom,+351 235 124 9020
Telecom,+62 477 203 1324
Telecom,+591 948 181 0275
Telecom,+62 691 123 7989
Telecom,+351 543 997 4318
Telecom,+221 577 657 7754
Telecom,+7 371 758 4851
Telecom,+58 309 892 3683
Telecom,+55 595 171 0583
Telecom,+351 149 297 1404
Telecom,+380 193 998 0755
Telecom,+63 699 640 6521
Telecom,+255 288 243 6585
Telecom,+1 384 132 9095
Telecom,+86 369 549 0595
Telecom,+880 194 102 3763
Telecom,+48 605 399 6898
Telecom,+98 238 641 5078
Telecom,+27 407 187 3101
Telecom,+86 262 669 5847
Telecom,+58 107 155 8233
Telecom,+33 789 705 4973
Telecom,+86 231 940 5196
Telecom,+597 769 358 0569
Telecom,+374 531 732 9074
Telecom,+51 415 553 5490
Telecom,+7 235 325 7495
Telecom,+1 662 380 0589
Telecom,+51 901 242 0584
Telecom,+49 686 145 1656
Telecom,+62 587 949 6348
Telecom,+86 682 953 4286
Telecom,+86 939 147 9288
Telecom,+86 172 496 6097
Telecom,+63 390 716 1146
Telecom,+62 362 318 0581
Telecom,+48 708 591 4609
Telecom,+52 345 844 0838
Telecom,+47 287 788 2428
Telecom,+46 983 626 0444
Telecom,+62 728 538 7442
